n instance value time
1 ADD_PMEDcap_25_5 1100 28.623245299968403
2 ADD_PMEDcap_25_5 1141 30.406351000012364
3 ADD_PMEDcap_25_5 1161 28.871837300015613
4 ADD_PMEDcap_25_5 1210 30.75287510000635
5 ADD_PMEDcap_25_5 1100 28.4850851999945
6 ADD_PMEDcap_25_5 1100 29.53929440001957
7 ADD_PMEDcap_25_5 1100 27.832539799972437
8 ADD_PMEDcap_25_5 1141 30.118255500041414
9 ADD_PMEDcap_25_5 1100 29.20986180001637
10 ADD_PMEDcap_25_5 1169 29.534578799968585

1 ADD_PMEDcap_25_7 910 30.83264129998861
2 ADD_PMEDcap_25_7 920 33.59196470002644
3 ADD_PMEDcap_25_7 887 37.760014900006354
4 ADD_PMEDcap_25_7 910 32.79101340001216
5 ADD_PMEDcap_25_7 878 32.03048100002343
6 ADD_PMEDcap_25_7 910 32.991899099957664
7 ADD_PMEDcap_25_7 913 33.76344889996108
8 ADD_PMEDcap_25_7 910 32.02749139996013
9 ADD_PMEDcap_25_7 910 33.717098299995996
10 ADD_PMEDcap_25_7 921 33.989608599978965

1 ADD_PMEDcap_49_9 1578 195.48277649999363
2 ADD_PMEDcap_49_9 1581 211.1934568999568
3 ADD_PMEDcap_49_9 1548 236.40718310000375
4 ADD_PMEDcap_49_9 1584 236.95693970000139
5 ADD_PMEDcap_49_9 1590 252.9943022999796
6 ADD_PMEDcap_49_9 1630 251.41826639999636
7 ADD_PMEDcap_49_9 1612 244.8096222000313
8 ADD_PMEDcap_49_9 1555 255.3249018000206
9 ADD_PMEDcap_49_9 1581 243.75716040004045
10 ADD_PMEDcap_49_9 1532 248.2118178999517

1 ADD_PMEDcap_49_14 1157 332.0892719000112
2 ADD_PMEDcap_49_14 1152 324.66979860002175
3 ADD_PMEDcap_49_14 1163 330.44321459997445
4 ADD_PMEDcap_49_14 1108 329.88193690002663
5 ADD_PMEDcap_49_14 1147 335.1110408999957
6 ADD_PMEDcap_49_14 1164 328.0803653000039
7 ADD_PMEDcap_49_14 1149 320.65716270002304
8 ADD_PMEDcap_49_14 1150 338.9647847999586
9 ADD_PMEDcap_49_14 1125 342.76632779999636
10 ADD_PMEDcap_49_14 1132 336.5256010000012

1 ADD_PMEDcap_80_16 1948 1034.9810944999917
2 ADD_PMEDcap_80_16 1970 1059.9118632000173
3 ADD_PMEDcap_80_16 1934 1094.3629030999728
4 ADD_PMEDcap_80_16 2015 1123.7666258999961
5 ADD_PMEDcap_80_16 1868 999.1541867000051
6 ADD_PMEDcap_80_16 1884 1056.269386800006
7 ADD_PMEDcap_80_16 1987 1050.6943535999744
8 ADD_PMEDcap_80_16 1924 1077.8849839000031
9 ADD_PMEDcap_80_16 1922 1011.6922380999895
10 ADD_PMEDcap_80_16 1868 1047.7401524999877

1 ADD_PMEDcap_80_24 1556 1089.6567366999807
2 ADD_PMEDcap_80_24 1558 1091.8284785000142
3 ADD_PMEDcap_80_24 1562 1034.2751242999802
4 ADD_PMEDcap_80_24 1554 1125.7508500999538
5 ADD_PMEDcap_80_24 1578 1055.692894399981
6 ADD_PMEDcap_80_24 1565 1121.4742646000232
7 ADD_PMEDcap_80_24 1583 1117.875381299993
8 ADD_PMEDcap_80_24 1578 1086.2869399000192
9 ADD_PMEDcap_80_24 1566 1036.1351394999656
10 ADD_PMEDcap_80_24 1529 1067.606052899966

1 ADD_PMEDcap_90_18 2054 1490.5550303999917
2 ADD_PMEDcap_90_18 2058 1474.7452600999968
